pos,word
বিশেষণ,অজ্ঞান
বিশেষণ,অজ্ঞেয়
বিশেষ্য,অজ্ব
বিশেষ্য,অজয়
বিশেষ্য,অঞ্চল
বিশেষণ,অঞ্চিত
বিশেষ্য,অঞ্জন
বিশেষ্য,অঞ্জনা
বিশেষ্য,অঞ্জলি
বিশেষ্য,অঞ্জাম
বিশেষ্য,অঞ্জির
বিশেষণ,অটল
বিশেষণ,অটুট
বিশেষ্য,অটো
বিশেষ্য,অটোগ্রাফ
বিশেষণ,অট্ট
বিশেষ্য,অট্টালিকা
বিশেষ্য,অডিট
বিশেষণ,অঢেল
বিশেষ্য,অণিমা
বিশেষ্য,অণীক
বিশেষণ,অণু
বিশেষ্য,অণ্ড
বিশেষণ,অত
অব্যয়,অতঃপর
অব্যয়,অতএব
বিশেষ্য,অতট
বিশেষ্য,অতথা
বিশেষণ,অতথ্য
বিশেষণ,অতনু
বিশেষণ,অতরল
বিশেষ্য,অতর্ক
বিশেষণ,অতর্কিত
বিশেষণ,অতল
বিশেষ্য,অতলান্তিক
বিশেষ্য,অতসী
অব্যয়,অতি
বিশেষ্য,অতিথি
বিশেষ্য,অতিভুজ
বিশেষণ,অতিষ্ঠ
বিশেষণ,অতীক্ষ্ণ
বিশেষণ,অতীত
বিশেষণ,অতীন্দ্রিয়
বিশেষণ,অতীব
বিশেষণ,অতুল
বিশেষণ,অতুষ্ট
বিশেষ্য,অতুষ্টি
বিশেষণ,অতৃপ্ত
বিশেষণ,অত্বর
বিশেষণ,অত্যধিক
বিশেষণ,অত্যন্ত
বিশেষণ,অত্যল্প
বিশেষ্য,অত্যশন
বিশেষ্য,অত্যহিত
বিশেষণ,অত্যাগসহন
বিশেষ্য,অত্যাচার
বিশেষণ,অত্যাজ্য
বিশেষ্য,অত্যাদর
বিশেষণ,অত্যাধুনিক
বিশেষণ,অত্যাবশ্যক
বিশেষণ,অত্যাশ্চর্য
বিশেষণ,অত্যাসক্ত
বিশেষ্য,অত্যাহিত
বিশেষ্য,অত্যুক্তি
বিশেষণ,অত্যুগ্র
বিশেষণ,অত্যুজ্জ্বল
বিশেষণ,অত্যুত্কট
বিশেষণ,অত্যুত্কৃষ্ট
বিশেষ্য,অত্যুত্পাদন
বিশেষ্য,অত্যুত্সাহ
বিশেষ্য,অত্যুদ্ব্যক্তি
বিশেষণ,অত্যুষ্ণ
বিশেষ্য,অত্যয়
অব্যয়,অত্র
বিশেষ্য,অত্রি
বিশেষণ,অথই
অব্যয়,অথচ
বিশেষণ,অথর্ব
বিশেষ্য,অথান্তর
বিশেষণ,অদক্ষ
বিশেষ্য,অদখল
বিশেষণ,অদণ্ডনীয়
বিশেষণ,অদত্ত
বিশেষ্য,অদন
বিশেষণ,অদন্ত
বিশেষণ,অদরকারি
বিশেষণ,অদরিদ্র
বিশেষ্য,অদর্শন
বিশেষ্য,অদলবদল
বিশেষ্য,অদাতা
বিশেষ্য,অদিতি
বিশেষ্য,অদিন
বিশেষণ,অদীক্ষিত
বিশেষণ,অদীন
বিশেষণ,অদীপ
বিশেষণ,অদূর
বিশেষণ,অদৃঢ়
বিশেষণ,অদৃশ্য
বিশেষণ,অদৃষ্ট
বিশেষণ,অদৃষ্টিগোচর
বিশেষণ,অদেবমাতৃক
বিশেষণ,অদেয়
বিশেষ্য,অদৈন্য
বিশেষণ,অদ্বিতীয়
বিশেষণ,অদ্বৈত
বিশেষ্য,অদ্বয়
বিশেষণ,অদ্ভুত
অব্যয়,অদ্য
বিশেষণ,অদ্রব
বিশেষণ,অদ্রাব্য
বিশেষ্য,অদ্রি
বিশেষ্য,অদ্রীশ
বিশেষণ,অদ্রুত
বিশেষ্য,অদ্রোহ
অব্যয়,অধঃ
বিশেষণ,অধন
বিশেষণ,অধম
বিশেষ্য,অধমর্ণ
বিশেষণ,অধমাধম
বিশেষ্য,অধর
বিশেষণ,অধরা
বিশেষ্য,অধরামৃত
বিশেষণ,অধরিক
বিশেষণ,অধরীকৃত
বিশেষ্য,অধর্ম
বিশেষ্য,অধশ্চৌর
বিশেষণ,অধস্তন
বিশেষণ,অধার্মিক
বিশেষ্য,অধি.কর্তা
বিশেষ্য,অধি.কর্ম
বিশেষ্য,অধি.কার
বিশেষণ,অধিক
বিশেষ্য,অধিকরণ
বিশেষণ,অধিকাংশ
বিশেষ্য,অধিকারূঢ়বৈশিষ্ট্য
বিশেষণ,অধিকৃত
বিশেষ্য,অধিক্রম
বিশেষণ,অধিক্ষিপ্ত
বিশেষ্য,অধিক্ষেত্র
বিশেষ্য,অধিক্ষেপ
বিশেষণ,অধিগত
বিশেষণ,অধিগম্য
বিশেষ্য,অধিগম্যতা
বিশেষ্য,অধিগ্রহণ
বিশেষ্য,অধিত্যকা
বিশেষ্য,অধিনায়ক
বিশেষ্য,অধিনিয়ম
বিশেষ্য,অধিপুরুষ
বিশেষ্য,অধিপ্রাণবাদ
বিশেষ্য,অধিবক্তা
বিশেষ্য,অধিবর্ষ
বিশেষ্য,অধিবাস
বিশেষণ,অধিবাসিত
বিশেষ্য,অধিবাসী
বিশেষ্য,অধিবিদ্যা
বিশেষ্য,অধিবেদন
বিশেষ্য,অধিবেশন
বিশেষ্য,অধিরথ
বিশেষ্য,অধিরাজ
বিশেষ্য,অধিরাজ্য
বিশেষণ,অধিরূঢ়
বিশেষ্য,অধিরোপণ
বিশেষ্য,অধিরোহী
বিশেষণ,অধিশায়িত
বিশেষণ,অধিশ্রিত
বিশেষ্য,অধিশ্রয়ণী
বিশেষণ,অধিশয়িত
বিশেষ্য,অধিষ্ঠাতা
বিশেষ্য,অধিষ্ঠান
বিশেষ্য,অধিহার
বিশেষণ,অধীত
বিশেষণ,অধীন
বিশেষণ,অধীর
বিশেষণ,অধীয়মান
বিশেষণ,অধৃষ্য
বিশেষণ,অধৈর্য
বিশেষ্য,অধোদৃষ্টি
বিশেষ্য,অধোদেশ
বিশেষ্য,অধোবাস
বিশেষ্য,অধোভাগ
বিশেষ্য,অধোলোক
বিশেষণ,অধৌত
বিশেষ্য,অধ্বর
বিশেষ্য,অধ্যক্ষ
বিশেষ্য,অধ্যবসায়
বিশেষ্য,অধ্যশন
বিশেষণ,অধ্যাত্ম
বিশেষ্য,অধ্যাদেশ
বিশেষণ,অধ্যারূঢ়
বিশেষ্য,অধ্যারোপ
বিশেষ্য,অধ্যাস
বিশেষ্য,অধ্যায়
বিশেষণ,অধ্যুষিত
বিশেষ্য,অধ্যেতা
বিশেষণ,অধ্রুব
বিশেষণ,অনক্ষ
বিশেষণ,অনক্ষর
বিশেষণ,অনগ্রসর
বিশেষণ,অনঘ
বিশেষণ,অনঙ্কুরিত
বিশেষণ,অনঙ্গ
বিশেষণ,অনচ্ছ
বিশেষণ,অনড়
বিশেষণ,অনতি
বিশেষণ,অনতিক্রান্ত
বিশেষণ,অনতীত
বিশেষণ,অনধিগত
বিশেষণ,অনধিগম্য
বিশেষণ,অনধীত
বিশেষ্য,অনধ্যবসায়
বিশেষ্য,অনধ্যায়
বিশেষণ,অননুকরণীয়
বিশেষণ,অননুতপ্ত
বিশেষণ,অননুভবনীয়
বিশেষণ,অননুভূত
বিশেষণ,অননুমত
বিশেষণ,অননুমেয়
বিশেষ্য,অননুমোদন
বিশেষ্য,অননুশীলন
বিশেষণ,অননুষ্ঠিত
বিশেষণ,অনন্ত
অব্যয়,অনন্তর
বিশেষণ,অনন্বিত
বিশেষণ,অনন্য
বিশেষণ,অনন্যোপায়
বিশেষণ,অনপগত
বিশেষ্য,অনপচয়
বিশেষণ,অনপত্য
বিশেষ্য,অনপরাধ
বিশেষণ,অনপায়ী
বিশেষণ,অনপেক্ষ
বিশেষণ,অনপেত
বিশেষ্য,অনবকাশ
বিশেষণ,অনবগত
বিশেষণ,অনবগুণ্ঠিত
বিশেষণ,অনবচ্ছিন্ন
বিশেষ্য,অনবচ্ছেদ
বিশেষণ,অনবদ্য
বিশেষ্য,অনবধান
বিশেষণ,অনবরত
বিশেষণ,অনবরুদ্ধ
বিশেষ্য,অনবরোধ
বিশেষ্য,অনবসর
বিশেষ্য,অনবস্হা
বিশেষণ,অনবহিত
বিশেষণ,অনভিজাত
বিশেষণ,অনভিজ্ঞ
বিশেষ্য,অনভিপ্রায়
বিশেষণ,অনভিপ্রেত
বিশেষণ,অনভিব্যক্ত
বিশেষণ,অনভিভবনীয়
বিশেষণ,অনভিভূত
বিশেষণ,অনভিমত
বিশেষণ,অনভিলষণীয়
বিশেষণ,অনভ্যস্ত
বিশেষ্য,অনভ্যাস
বিশেষণ,অনমনীয়
বিশেষণ,অনম্বর
বিশেষ্য,অনম্বয়
বিশেষণ,অনর্গল
বিশেষণ,অনর্ঘ
বিশেষ্য,অনর্থ
বিশেষণ,অনর্থক
বিশেষণ,অনর্হ
বিশেষ্য,অনল
বিশেষণ,অনল
বিশেষ্য,অনলংকার
বিশেষণ,অনল্প
বিশেষ্য,অনশন
বিশেষণ,অনশ্বর
বিশেষণ,অনসূয়
বিশেষ্য,অনসূয়া
বিশেষ্য,অনস্তিত্ব
বিশেষণ,অনস্বীকার্য
বিশেষ্য,অনাকাঙ্ক্ষা
বিশেষণ,অনাকুল
বিশেষ্য,অনাক্রমণ
বিশেষণ,অনাক্রম্য
বিশেষণ,অনাগত
বিশেষ্য,অনাগ্রহ
বিশেষণ,অনাঘ্রাত
বিশেষ্য,অনাচার
বিশেষণ,অনাচ্ছাদিত
বিশেষণ,অনাড়ম্বর
বিশেষণ,অনাত্মজ্ঞ
বিশেষ্য,অনাত্মীয়
বিশেষণ,অনাত্ম্য
বিশেষণ,অনাথ
বিশেষ্য,অনাদর
বিশেষ্য,অনাদায়
বিশেষণ,অনাদি
বিশেষণ,অনাদেয়
বিশেষণ,অনাদ্য
বিশেষণ,অনাদ্যন্ত
বিশেষণ,অনাধিক
বিশেষ্য,অনাধিকার
বিশেষণ,অনাবাসিক
বিশেষণ,অনাবিল
বিশেষণ,অনাবিষ্কৃত
বিশেষণ,অনাবিষ্ট
বিশেষণ,অনাবৃত
বিশেষ্য,অনাবৃত্তি
বিশেষ্য,অনাবৃষ্টি
বিশেষণ,অনামক
বিশেষণ,অনামা
বিশেষণ,অনামিক
বিশেষ্য,অনাময়
বিশেষ্য,অনারম্ভ
বিশেষণ,অনারারি
বিশেষণ,অনারেবল
বিশেষণ,অনার্তবা
বিশেষণ,অনার্দ্র
বিশেষণ,অনার্য
বিশেষণ,অনালোকিত
বিশেষণ,অনালোচিত
বিশেষণ,অনাশ্রয়
বিশেষণ,অনাসক্ত
বিশেষণ,অনাসৃষ্টি
বিশেষণ,অনাস্বাদিত
বিশেষ্য,অনাস্হা
বিশেষণ,অনাহত
বিশেষ্য,অনাহার
বিশেষণ,অনাহুত
বিশেষণ,অনায়ত্ত
বিশেষ্য,অনায়াস
বিশেষণ,অনিঃশেষ
বিশেষ্য,অনিচ্ছা
বিশেষণ,অনিত্য
বিশেষ্য,অনিদ্রা
বিশেষণ,অনিপূণ
বিশেষণ,অনিবদ্ধ
বিশেষ্য,অনিবর্তন
বিশেষণ,অনিবার
বিশেষণ,অনিবার্য
বিশেষণ,অনিবিড়
বিশেষণ,অনিমন্ত্রিত
বিশেষণ,অনিমিখ
বিশেষণ,অনিরূদ্ধ
বিশেষণ,অনিরূপিত
বিশেষণ,অনির্ণীত
বিশেষণ,অনির্দিষ্ট
বিশেষ্য,অনির্দেশ
বিশেষণ,অনির্দেশ্য
বিশেষণ,অনির্ধারিত
বিশেষণ,অনির্বাচিত
বিশেষণ,অনির্বাণ
বিশেষণ,অনির্বেদ
বিশেষণ,অনির্ভর
বিশেষণ,অনিশ্চিত
বিশেষ্য,অনিশ্চয়
বিশেষ্য,অনিষ্ঠ
বিশেষ্য,অনিষ্পত্তি
বিশেষণ,অনিয়ত
বিশেষণ,অনিয়তকার
বিশেষণ,অনিয়ন্ত্রিত
বিশেষ্য,অনিয়ম
বিশেষ্য,অনীক
বিশেষণ,অনীপ্সিত
বিশেষ্য,অনীহা
অব্যয়,অনু
বিশেষ্য,অনুকম্পা
বিশেষ্য,অনুকরণ
বিশেষ্য,অনুকল্প
বিশেষ্য,অনুকার
বিশেষণ,অনুকূল
বিশেষণ,অনুকৃত
বিশেষণ,অনুক্ত
বিশেষ্য,অনুক্রম
বিশেষণ,অনুগ
বিশেষণ,অনুগত
বিশেষ্য,অনুগমন
বিশেষণ,অনুগৃহীত
বিশেষণ,অনুগ্র
বিশেষ্য,অনুগ্রহ
বিশেষ্য,অনুচর
বিশেষ্য,অনুচিকীর্ষা
বিশেষণ,অনুচিত
বিশেষণ,অনুচ্চ
বিশেষণ,অনুচ্চার
বিশেষ্য,অনুচ্ছেদ
বিশেষণ,অনুজ
বিশেষ্য,অনুজীবী
বিশেষণ,অনুজীব্য
বিশেষণ,অনুজ্জ্বল
বিশেষ্য,অনুজ্ঞা
বিশেষণ,অনুতপ্ত
বিশেষ্য,অনুতাপ
বিশেষ্য,অনুত্কর্ষ
বিশেষণ,অনুত্তম
বিশেষণ,অনুত্তর
বিশেষণ,অনুত্তীর্ণ
বিশেষ্য,অনুত্সাহ
বিশেষণ,অনুদাত্ত
বিশেষ্য,অনুদান
বিশেষণ,অনুদার
বিশেষণ,অনুদিত
বিশেষ্য,অনুদেশ
বিশেষণ,অনুদৈর্ঘ্য
বিশেষ্য,অনুদ্ঘাত
বিশেষণ,অনুদ্দিষ্ট
বিশেষ্য,অনুদ্দেশ
বিশেষণ,অনুদ্ধত
বিশেষণ,অনুদ্বিগ্ন
বিশেষণ,অনুদ্ভিন্ন
বিশেষণ,অনুদ্যত
বিশেষ্য,অনুধাবন
বিশেষ্য,অনুধ্যান
বিশেষ্য,অনুনাদ
বিশেষণ,অনুনাসিক
বিশেষণ,অনুন্নত
বিশেষ্য,অনুনয়
বিশেষণ,অনুপ
বিশেষ্য,অনুপকার
বিশেষণ,অনুপদিষ্ট
বিশেষ্য,অনুপপত্তি
বিশেষণ,অনুপম
বিশেষণ,অনুপযুক্ত
বিশেষ্য,অনুপল
বিশেষ্য,অনুপলব্ধি
বিশেষণ,অনুপস্হিত
বিশেষ্য,অনুপাত
বিশেষ্য,অনুপান
বিশেষ্য,অনুপায়
বিশেষ্য,অনুপুঙ্খ
বিশেষণ,অনুপূরক
বিশেষ্য,অনুপূর্ব
বিশেষণ,অনুপেত
বিশেষণ,অনুপ্ত
বিশেষ্য,অনুপ্রবেশ
বিশেষণ,অনুপ্রস্হ
বিশেষ্য,অনুপ্রাণন
বিশেষণ,অনুপ্রাণিত
বিশেষ্য,অনুপ্রাস
বিশেষ্য,অনুপ্রেরণা
বিশেষণ,অনুবদ্ধ
বিশেষ্য,অনুবন্ধ
বিশেষ্য,অনুবর্তন
বিশেষ্য,অনুবল
বিশেষণ,অনুবাত
বিশেষ্য,অনুবাদ
বিশেষ্য,অনুবাসন
বিশেষণ,অনুবিদ্ধ
বিশেষ্য,অনুবিধান
বিশেষ্য,অনুবিধি
বিশেষ্য,অনুবৃত্তি
বিশেষ্য,অনুবেদন
বিশেষ্য,অনুবোধ
বিশেষ্য,অনুবোল
বিশেষ্য,অনুভব
বিশেষ্য,অনুভাব
বিশেষণ,অনুভাবিত
বিশেষ্য,অনুভাবী
বিশেষ্য,অনুভূ
বিশেষ্য,অনুভূতি
বিশেষণ,অনুভূমিক
বিশেষণ,অনুমত
বিশেষ্য,অনুমরণ
বিশেষণ,অনুমাপক
বিশেষণ,অনুমৃত
বিশেষ্য,অনুমোদন
বিশেষণ,অনুযাত
বিশেষণ,অনুযায়ী
বিশেষ্য,অনুযোগ
বিশেষণ,অনুরক্ত
বিশেষ্য,অনুরঞ্জন
বিশেষ্য,অনুরণন
বিশেষণ,অনুরত
বিশেষ্য,অনুরথ
বিশেষ্য,অনুরথ্যা
বিশেষ্য,অনুরাগ
বিশেষ্য,অনুরাধা
বিশেষণ,অনুরুদ্ধ
বিশেষণ,অনুরূপ
বিশেষ্য,অনুরোধ
বিশেষণ,অনুর্বর
বিশেষণ,অনুলম্ব
বিশেষ্য,অনুলাপ
বিশেষণ,অনুলিপ্ত
বিশেষ্য,অনুলেপ
বিশেষ্য,অনুলেহ
বিশেষ্য,অনুলোম
বিশেষ্য,অনুলোম্য
বিশেষণ,অনুল্লঙ্ঘনীয়
বিশেষণ,অনুল্লিখিত
বিশেষ্য,অনুল্লেখ
বিশেষ্য,অনুশাসন
বিশেষ্য,অনুশিষ্য
বিশেষ্য,অনুশীলন
বিশেষ্য,অনুশয়
বিশেষ্য,অনুষঙ্গ
বিশেষ্য,অনুষ্ঠাতা
বিশেষ্য,অনুষ্ঠান
বিশেষণ,অনুষ্ণ
বিশেষ্য,অনুসঙ্গ
বিশেষ্য,অনুসন্ধান
বিশেষ্য,অনুসন্ধিত্সা
বিশেষ্য,অনুসরণ
বিশেষ্য,অনুসর্গ
বিশেষ্য,অনুসার
বিশেষ্য,অনুসিদ্ধান্ত
বিশেষণ,অনুসূচক
বিশেষণ,অনুসৃত
বিশেষ্য,অনুস্মরণ
বিশেষ্য,অনুস্মৃতি
বিশেষণ,অনুস্যূত
বিশেষণ,অনূঢ়
বিশেষণ,অনূদিত
বিশেষ্য,অনূপ
বিশেষণ,অনূরু
বিশেষণ,অনূর্ধ্ব
বিশেষণ,অনৃজু
বিশেষণ,অনৃণী
বিশেষণ,অনৃত
বিশেষণ,অনেক
বিশেষ্য,অনেকাংশ
বিশেষ্য,অনৈক্য
বিশেষণ,অনৈচ্ছিক
বিশেষণ,অনৈতিক
বিশেষণ,অনৈসর্গিক
বিশেষ্য,অনৌচিত্য
বিশেষ্য,অন্ত
বিশেষ্য,অন্তর
বিশেষণ,অন্তরঙ্গ
বিশেষ্য,অন্তরা
বিশেষ্য,অন্তরাত্মা
বিশেষ্য,অন্তরাল
বিশেষ্য,অন্তরায়
বিশেষণ,অন্তরিত
বিশেষ্য,অন্তরিন্দ্রিয়
বিশেষ্য,অন্তরীপ
বিশেষ্য,অন্তরীয়
বিশেষণ,অন্তর্গত
বিশেষণ,অন্তর্গূঢ়
বিশেষ্য,অন্তর্গৃহ
বিশেষ্য,অন্তর্গ্লানি
বিশেষ্য,অন্তর্ঘাত
বিশেষ্য,অন্তর্জগত্
বিশেষ্য,অন্তর্জলি
বিশেষণ,অন্তর্জাতীয়
বিশেষ্য,অন্তর্দশন
বিশেষ্য,অন্তর্দশা
বিশেষ্য,অন্তর্দাহ
বিশেষ্য,অন্তর্দীপন
বিশেষ্য,অন্তর্দৃষ্টি
বিশেষ্য,অন্তর্দেশ
বিশেষ্য,অন্তর্ধান
বিশেষণ,অন্তর্নিবিষ্ট
বিশেষণ,অন্তর্নিহিত
বিশেষণ,অন্তর্বতী
বিশেষণ,অন্তর্বত্নী
বিশেষ্য,অন্তর্বাণিজ্য
বিশেষ্য,অন্তর্বাষ্প
বিশেষ্য,অন্তর্বাস
বিশেষণ,অন্তর্বাহী
বিশেষ্য,অন্তর্বিগ্রহ
বিশেষ্য,অন্তর্বিপ্লব
বিশেষ্য,অন্তর্বিবাহ
বিশেষ্য,অন্তর্বিরোধ
বিশেষ্য,অন্তর্বেদনা
বিশেষণ,অন্তর্ভুক্ত
বিশেষণ,অন্তর্ভূত
বিশেষণ,অন্তর্ভেদী
বিশেষ্য,অন্তর্মাধুর্য
বিশেষণ,অন্তর্মুখ
বিশেষ্য,অন্তর্মুখিতা
বিশেষণ,অন্তর্যামী
বিশেষণ,অন্তর্লীন
বিশেষণ,অন্তর্হিত
বিশেষ্য,অন্তস্তল
বিশেষণ,অন্তস্হ
বিশেষণ,অন্তহীন
বিশেষণ,অন্তিক
বিশেষণ,অন্তিম
বিশেষ্য,অন্তেবাসী
বিশেষণ,অন্ত্য
বিশেষ্য,অন্ত্যাক্ষরি
বিশেষ্য,অন্ত্যানুপ্রাস
বিশেষ্য,অন্ত্যেষ্টি
বিশেষ্য,অন্ত্র
বিশেষ্য,অন্দর
বিশেষ্য,অন্ধ
বিশেষ্য,অন্ধকার
বিশেষ্য,অন্ধিসন্ধি
বিশেষ্য,অন্ধ্র
বিশেষ্য,অন্ন
বিশেষণ,অন্বর্থ
বিশেষণ,অন্বিত
